FDPENKKI_00001	VFG013992(gb|WP_011921055)	43.175	315	163	7	335	638	136	445	1.94e-69	232
FDPENKKI_00021	VFG015349(gb|WP_004667332)	32.364	275	171	5	60	326	95	362	3.60e-35	132
FDPENKKI_00023	VFG038250(gb|YP_001083314)	30.488	246	159	6	31	269	5	245	8.48e-27	107
FDPENKKI_00081	VFG015349(gb|WP_004667332)	62.069	435	160	3	16	448	11	442	0.0	532
FDPENKKI_00089	VFG040672(gb|WP_012149068)	35.714	210	130	4	40	246	53	260	4.80e-35	127
FDPENKKI_00094	VFG014794(gb|WP_011914768)	70.556	180	51	1	1	180	1	178	2.88e-79	233
FDPENKKI_00095	VFG013618(gb|WP_011609384)	61.737	426	163	0	1	426	1	426	0.0	576
FDPENKKI_00098	VFG041873(gb|WP_080509010)	30.784	523	263	14	343	777	303	814	1.78e-47	182
FDPENKKI_00100	VFG044398(gb|AAF33139)	23.529	272	191	7	176	444	248	505	2.29e-12	69.3
FDPENKKI_00116	VFG030270(gb|WP_015291172)	32.353	272	178	4	10	276	3	273	1.01e-31	118
FDPENKKI_00120	VFG044244(gb|WP_005311738)	28.571	140	96	2	15	154	4	139	8.84e-11	58.2
FDPENKKI_00125	VFG002044(gb|WP_010930609)	58.252	206	86	0	2	207	3	208	1.90e-81	241
FDPENKKI_00126	VFG045467(gb|WP_011204972)	35.081	248	140	4	145	381	324	561	4.08e-40	150
FDPENKKI_00127	VFG011123(gb|WP_010926708)	42.092	1176	646	18	23	1175	31	1194	0.0	795
FDPENKKI_00136	VFG036559(gb|WP_013449339)	40.000	215	115	3	18	218	15	229	6.80e-42	146
FDPENKKI_00141	VFG041031(gb|NP_251049)	51.195	293	141	2	10	300	4	296	1.27e-85	261
FDPENKKI_00142	VFG045346(gb|WP_011149697)	42.523	214	123	0	46	259	56	269	4.98e-55	177
FDPENKKI_00149	VFG030400(gb|WP_081465621)	29.480	519	316	15	44	551	27	506	1.23e-54	192
FDPENKKI_00153	VFG031404(gb|WP_085981087)	45.414	676	345	8	124	790	111	771	1.28e-177	529
FDPENKKI_00175	VFG044177(gb|WP_005460644)	32.931	662	404	14	129	769	55	697	1.12e-97	318
FDPENKKI_00176	VFG044115(gb|WP_010929756)	37.864	309	177	6	13	316	1	299	9.87e-41	144
FDPENKKI_00177	VFG044116(gb|WP_003815434)	51.220	164	79	1	1	163	1	164	3.75e-51	161
FDPENKKI_00178	VFG019777(gb|WP_012724142)	26.471	272	172	7	27	294	15	262	2.00e-14	71.6
FDPENKKI_00181	VFG044083(gb|NP_250948)	28.188	298	201	6	3	295	12	301	1.92e-26	106
FDPENKKI_00182	VFG037735(gb|WP_000633124)	27.546	432	281	9	65	480	64	479	8.25e-43	158
FDPENKKI_00185	VFG037711(gb|WP_000010646)	31.734	271	141	12	18	273	48	289	1.17e-18	85.5
FDPENKKI_00186	VFG013573(gb|WP_011608934)	33.818	275	156	6	17	278	14	275	4.08e-44	156
FDPENKKI_00196	VFG005765(gb|WP_000861303)	28.986	207	138	4	4	205	2	204	8.97e-21	88.2
FDPENKKI_00200	VFG015080(gb|NP_251276)	36.842	209	131	1	12	219	2	210	3.11e-41	139
FDPENKKI_00201	VFG041502(gb|WP_004155353)	29.381	194	133	3	411	603	287	477	2.95e-15	78.6
FDPENKKI_00203	VFG022816(gb|YP_001704253)	36.765	476	254	9	11	462	11	463	7.10e-81	258
FDPENKKI_00204	VFG009599(gb|WP_011558674)	50.207	1209	563	15	36	1236	46	1223	0.0	1201
FDPENKKI_00205	VFG009609(gb|WP_011893045)	57.407	486	201	4	1	483	1	483	0.0	599
FDPENKKI_00207	VFG009636(gb|WP_011781695)	35.897	234	137	4	1	227	1	228	2.59e-38	133
FDPENKKI_00211	VFG007265(gb|WP_005461725)	27.523	218	133	9	480	675	438	652	1.46e-11	67.4
FDPENKKI_00212	VFG041139(gb|WP_006485337)	32.500	240	148	4	24	260	32	260	8.69e-38	133
FDPENKKI_00217	VFG030400(gb|WP_081465621)	33.858	381	218	10	204	568	136	498	6.43e-51	184
FDPENKKI_00219	VFG011639(gb|WP_011732101)	27.311	238	164	4	3	238	9	239	4.06e-21	91.3
FDPENKKI_00224	VFG005041(gb|WP_001216898)	39.735	151	84	3	53	197	52	201	2.45e-31	114
FDPENKKI_00232	VFG044084(gb|NP_251073)	38.947	285	161	7	4	282	9	286	2.11e-37	134
FDPENKKI_00234	VFG007855(gb|WP_162292826)	31.890	254	164	4	13	262	1484	1732	3.22e-28	115
FDPENKKI_00237	VFG042140(gb|NP_252531)	98.276	116	2	0	1	116	1	116	1.08e-80	231
FDPENKKI_00240	VFG044105(gb|WP_010922614)	31.381	239	151	5	2	240	8	233	3.49e-23	95.5
FDPENKKI_00242	VFG050217(gb|WP_011860976)	45.255	274	150	0	28	301	42	315	3.15e-77	239
FDPENKKI_00253	VFG049934(gb|WP_011181932)	35.169	236	153	0	264	499	642	877	2.95e-42	161
FDPENKKI_00263	VFG016409(gb|WP_001103738)	38.636	132	78	2	38	168	7	136	2.55e-22	89.7
FDPENKKI_00264	VFG011941(gb|WP_002849697)	26.786	112	78	3	25	132	23	134	1.39e-11	58.5
FDPENKKI_00269	VFG043573(gb|NP_219906)	41.463	533	296	4	22	540	11	541	4.00e-132	402
FDPENKKI_00272	VFG031473(gb|YP_001702345)	51.880	133	63	1	4	135	3	135	3.01e-43	139
FDPENKKI_00274	VFG013823(gb|WP_003092804)	100.000	252	0	0	1	252	1	252	0.0	506
FDPENKKI_00289	VFG044193(gb|WP_011179204)	23.622	762	473	34	23	717	2	721	1.56e-18	90.1
FDPENKKI_00292	VFG042906(gb|WP_012908549)	32.787	122	82	0	157	278	166	287	1.26e-15	75.9
FDPENKKI_00302	VFG044083(gb|NP_250948)	28.854	253	168	8	15	262	22	267	9.05e-11	61.6
FDPENKKI_00304	VFG049114(gb|WP_012737527)	35.955	89	57	0	1	89	1	89	2.74e-11	63.2
FDPENKKI_00310	VFG052859(gb|WP_041178223.1)	53.623	483	214	6	1	477	1	479	1.14e-166	479
FDPENKKI_00311	VFG052864(gb|WP_062706012.1)	48.654	520	254	5	8	525	4	512	0.0	525
FDPENKKI_00319	VFG039691(gb|NP_821046)	57.000	100	43	0	1	100	1	100	1.44e-40	129
FDPENKKI_00328	VFG045340(gb|WP_002964382)	54.088	159	71	1	16	174	19	175	6.26e-61	186
FDPENKKI_00333	VFG038902(gb|WP_011898555)	23.227	409	293	7	10	401	7	411	2.70e-26	110
FDPENKKI_00335	VFG043252(gb|NP_464208)	24.521	261	176	10	50	296	146	399	3.82e-12	67.8
